frame,x,y,label
11989,1180,517,green_gk
11989,1427,658,red_12
11989,43,625,red_16
11989,753,703,red_4
11993,38,619,red_16
11997,33,619,red_16
12001,30,616,red_16
12005,26,619,red_16
12009,21,630,red_16
12057,9,616,red_16
12063,665,776,red_4
12087,18,981,green_41
12105,1464,502,green_gk
12109,1493,711,red_12
12128,18,994,red_10
12134,438,982,green_41
12137,585,831,red_4
12144,53,962,red_10
12161,81,901,red_10
12177,70,837,red_10
12182,872,983,green_41
12194,45,786,red_10
12211,17,786,red_10
12211,505,928,red_4
12222,1773,442,green_gk
12229,1018,1005,green_41
12229,1533,711,red_12
12277,866,1023,green_41
12285,446,995,red_4
12325,588,1049,green_41
12331,1909,660,referee
12338,1062,433,green_gk
12345,1895,629,referee
12349,1137,587,red_12
12360,310,1050,red_4
12360,1895,630,referee
12374,1889,621,referee
12387,118,510,red_16
12389,1889,621,referee
12404,1907,630,referee
12455,1143,434,green_gk
12469,1364,556,red_12
12516,20,787,red_10
12566,51,931,red_33
12573,932,1047,red_4
12575,1898,402,green_gk
12588,45,841,green_31
12589,1903,444,red_12
12596,304,488,referee
12602,1520,1049,green_41
12603,51,990,red_gk_1
12650,1728,175,green_12
12681,1669,963,green_41
12718,1644,203,red_16
12759,1431,335,red_10
12760,1555,881,green_41
12802,746,539,red_33
12820,981,226,referee
12822,826,712,red_4
12827,556,539,red_gk_1
12828,678,551,green_31
12839,1345,746,green_41
12918,1084,599,green_41
12943,1905,490,red_12
12997,1865,289,green_12
12997,925,465,green_41
13002,856,411,red_10
13025,875,487,green_41
13039,647,490,red_33
13044,944,245,referee
13049,1522,307,red_16
13051,594,601,red_gk_1
13072,902,510,red_4
13087,773,461,green_31
13114,1478,572,red_12
13180,825,610,green_41
13245,798,401,red_10
13268,779,259,referee
13276,976,607,red_33
13276,579,604,red_gk_1
13285,1346,635,red_12
13322,884,656,red_4
13334,1100,795,green_31
13335,958,709,green_41
13344,1890,457,green_12
13380,1720,452,red_16
13386,1908,611,green_39
13456,1207,471,red_12
13488,669,419,red_10
13490,1000,622,green_41
13492,767,237,referee
13500,573,617,red_gk_1
13513,945,720,red_33
13575,1173,500,green_31
13578,1065,482,red_4
13585,1440,227,green_39
13627,1193,307,red_12
13645,1017,527,green_41
13691,1289,748,green_12
13711,1896,614,red_16
13716,358,348,referee
13725,42,969,red_gk_1
13732,35,659,red_10
13733,1901,635,red_16
13750,28,979,red_33
13760,1821,251,green_gk
13785,1088,452,green_39
13800,36,842,green_41
13800,31,582,red_12
13819,27,664,green_31
13828,23,604,red_4
13858,13,697,green_31
13859,1242,725,red_16
13885,749,565,green_gk
13922,1906,982,referee
13962,1753,903,referee
13963,384,562,green_31
13985,1217,593,green_39
13985,1563,605,red_16
13987,21,742,red_12
13996,10,752,green_41
14002,1537,760,referee
14010,625,530,green_gk
14038,804,568,green_12
14043,1576,734,referee
14066,330,780,red_12
14068,525,582,green_31
14073,84,708,green_41
14083,1611,703,referee
14124,1639,695,referee
14133,1606,589,red_16
14135,659,528,green_gk
14146,927,765,red_12
14151,73,644,green_41
14174,678,618,green_31
14185,1127,563,green_39
14225,1229,594,red_12
14229,211,547,green_41
14259,1497,508,red_16
14260,660,467,green_gk
14279,802,664,green_31
14305,1395,551,red_12
14307,633,515,green_41
14341,1814,622,referee
14349,1811,621,referee
14358,1791,621,referee
14367,1779,625,referee
14376,1782,629,referee
14385,1122,574,green_12
14385,939,895,green_31
14385,918,516,green_39
14385,661,645,green_41
14385,709,453,green_gk
14385,1147,632,red_12
14385,1368,585,red_16
14385,1789,639,referee
